date;close;adjusted_close;dividend
05/09/2022 00:00;181.85;181.85;0
06/09/2022 00:00;182.11;182.11;0
07/09/2022 00:00;181.19;181.19;0
08/09/2022 00:00;182.31;182.31;0
09/09/2022 00:00;185.14;185.14;0
12/09/2022 00:00;188.18;188.18;0
13/09/2022 00:00;185.32;185.32;0
14/09/2022 00:00;183.67;183.67;0
15/09/2022 00:00;182.53;182.53;0
16/09/2022 00:00;179.48;179.48;0
19/09/2022 00:00;179.62;179.62;0
20/09/2022 00:00;177.57;177.57;0
21/09/2022 00:00;179.33;179.33;0
22/09/2022 00:00;175.69;175.69;0
23/09/2022 00:00;171.9;171.9;0
26/09/2022 00:00;170.88;170.88;0
27/09/2022 00:00;170.52;170.52;0
28/09/2022 00:00;171.31;171.31;0
29/09/2022 00:00;168.39;168.39;0
30/09/2022 00:00;170.71;170.71;0
03/10/2022 00:00;171.94;171.94;0
04/10/2022 00:00;177.22;177.22;0
05/10/2022 00:00;175.64;175.64;0
06/10/2022 00:00;174.23;174.23;0
07/10/2022 00:00;172.2;172.2;0
10/10/2022 00:00;171.59;171.59;0
11/10/2022 00:00;170.66;170.66;0
12/10/2022 00:00;169.58;169.58;0
13/10/2022 00:00;171.32;171.32;0
14/10/2022 00:00;171.83;171.83;0
17/10/2022 00:00;175.36;175.36;0
18/10/2022 00:00;175.69;175.69;0
19/10/2022 00:00;174.9;174.9;0
20/10/2022 00:00;175.48;175.48;0
21/10/2022 00:00;174.58;174.58;0
24/10/2022 00:00;176.75;176.75;0
25/10/2022 00:00;179.26;179.26;0
26/10/2022 00:00;180.25;180.25;0
27/10/2022 00:00;180.52;180.52;0
28/10/2022 00:00;180.76;180.76;0
31/10/2022 00:00;180.95;180.95;0
01/11/2022 00:00;182.41;182.41;0
02/11/2022 00:00;181.88;181.88;0
03/11/2022 00:00;180.23;180.23;0
04/11/2022 00:00;183.46;183.46;0
07/11/2022 00:00;183.88;183.88;0
08/11/2022 00:00;185.52;185.52;0
09/11/2022 00:00;185;185;0
10/11/2022 00:00;190.22;190.22;0
11/11/2022 00:00;190.22;190.22;0
14/11/2022 00:00;190.63;190.63;0
15/11/2022 00:00;191.39;191.39;0
16/11/2022 00:00;189.47;189.47;0
17/11/2022 00:00;188.73;188.73;0
18/11/2022 00:00;190.8;190.8;0
21/11/2022 00:00;190.71;190.71;0
22/11/2022 00:00;191.99;191.99;0
23/11/2022 00:00;193.13;193.13;0
24/11/2022 00:00;194.13;194.13;0
25/11/2022 00:00;194.25;194.25;0
28/11/2022 00:00;192.89;192.89;0
29/11/2022 00:00;192.54;192.54;0
30/11/2022 00:00;193.96;193.96;0
01/12/2022 00:00;195.84;195.84;0
02/12/2022 00:00;195.66;195.66;0
05/12/2022 00:00;194.81;194.81;0
06/12/2022 00:00;193.72;193.72;0
07/12/2022 00:00;192.34;192.34;0
08/12/2022 00:00;192.34;192.34;0
09/12/2022 00:00;193.78;193.78;0
12/12/2022 00:00;192.99;192.99;0
13/12/2022 00:00;195.02;195.02;0
